SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 01-Feb-2026, 106.54, 106.50, 106.55, 106.50, 106.55, 106.55, 106.50, 1008, 1.07, 5, 1008, 100.00
20MICRONS, EQ, 01-Feb-2026, 175.28, 174.83, 178.02, 171.00, 171.65, 172.55, 174.68, 57259, 100.02, 2278, 21582, 37.69
21STCENMGM, EQ, 01-Feb-2026, 38.00, 38.75, 38.76, 37.24, 37.24, 37.24, 37.58, 7019, 2.64, 91, 6377, 90.85
360ONE, EQ, 01-Feb-2026, 1134.30, 1134.30, 1135.10, 1025.10, 1117.00, 1101.80, 1103.97, 1075542, 11873.68, 30782, 348602, 32.41
3IINFOLTD, EQ, 01-Feb-2026, 14.97, 15.00, 15.25, 14.68, 14.88, 14.95, 14.94, 180209, 26.93, 1374, 133486, 74.07
3MINDIA, EQ, 01-Feb-2026, 34390.00, 34390.00, 34885.00, 33705.00, 34600.00, 34525.00, 34383.31, 1132, 389.22, 697, 444, 39.22
3PLAND, EQ, 01-Feb-2026, 35.37, 36.49, 36.49, 32.71, 34.99, 34.56, 34.08, 6646, 2.26, 118, 5822, 87.60
563GS2026, GS, 01-Feb-2026, 101.47, 103.00, 103.00, 101.20, 101.20, 101.20, 101.87, 3, 0.00, 3, 1, 33.33
585GS2030, GS, 01-Feb-2026, 98.50, 96.12, 96.12, 96.12, 96.12, 96.12, 96.12, 1000, 0.96, 1, 1000, 100.00
591GS2028, GS, 01-Feb-2026, 99.59, 99.60, 99.60, 99.13, 99.13, 99.13, 99.21, 1200, 1.19, 3, 1200, 100.00
5PAISA, EQ, 01-Feb-2026, 346.60, 347.10, 347.25, 302.00, 340.00, 331.90, 325.90, 115317, 375.82, 5280, 24980, 21.66
601GS2030, GS, 01-Feb-2026, 98.50, 97.30, 98.50, 97.30, 97.30, 97.30, 97.33, 2938, 2.86, 7, 2938, 100.00
619GS2034, GS, 01-Feb-2026, 96.26, 96.02, 96.02, 96.02, 96.02, 96.02, 96.02, 384, 0.37, 1, 384, 100.00
628GS2032, GS, 01-Feb-2026, 96.55, 95.00, 96.62, 95.00, 96.62, 96.62, 95.81, 100, 0.10, 2, 100, 100.00
633GS2035, GS, 01-Feb-2026, 98.10, 97.85, 99.40, 97.85, 99.40, 99.40, 97.87, 101, 0.10, 2, 100, 99.01
63MOONS, EQ, 01-Feb-2026, 648.50, 650.00, 672.00, 627.00, 630.90, 629.60, 644.40, 111501, 718.51, 5114, 50947, 45.69
648GS2035, GS, 01-Feb-2026, 99.50, 100.60, 100.60, 100.60, 100.60, 100.60, 100.60, 1490, 1.50, 3, 1490, 100.00
664GS2035, GS, 01-Feb-2026, 98.96, 98.95, 98.95, 98.95, 98.95, 98.95, 98.95, 442, 0.44, 1, 442, 100.00
667GS2035, GS, 01-Feb-2026, 101.01, 98.45, 98.50, 98.45, 98.50, 98.50, 98.47, 4311, 4.25, 3, 4311, 100.00
668GS2033, GS, 01-Feb-2026, 100.00, 100.50, 100.50, 98.00, 98.00, 98.00, 98.02, 102, 0.10, 3, 101, 99.02
668GS2040, GS, 01-Feb-2026, 96.80, 96.00, 96.90, 95.30, 96.80, 96.80, 95.67, 16510, 15.80, 16, 13000, 78.74
675GS2029, GS, 01-Feb-2026, 101.41, 101.50, 101.56, 101.50, 101.56, 101.56, 101.53, 200, 0.20, 2, 200, 100.00
676GS2061, GS, 01-Feb-2026, 94.57, 94.60, 94.60, 93.70, 94.50, 94.42, 94.43, 5502, 5.20, 5, 5501, 99.98
690GS2065, GS, 01-Feb-2026, 94.90, 94.70, 95.00, 94.20, 94.65, 94.85, 94.72, 79024, 74.85, 33, 47442, 60.03
695GS2061, GS, 01-Feb-2026, 94.49, 94.79, 94.79, 94.65, 94.65, 94.65, 94.74, 8, 0.01, 3, 7, 87.50
699GS2026, GS, 01-Feb-2026, 102.10, 102.10, 102.10, 102.00, 102.00, 102.00, 102.00, 1106, 1.13, 4, 1106, 100.00
699GS2051, GS, 01-Feb-2026, 96.58, 95.30, 96.30, 95.05, 96.30, 96.01, 95.75, 13253, 12.69, 8, 12774, 96.39
702GS2027, GS, 01-Feb-2026, 101.90, 101.80, 101.80, 101.50, 101.50, 101.50, 101.57, 4175, 4.24, 7, 4100, 98.20
702GS2031, GS, 01-Feb-2026, 101.65, 101.30, 101.30, 101.30, 101.30, 101.30, 101.30, 1000, 1.01, 1, 1000, 100.00
704GS2029, GS, 01-Feb-2026, 103.01, 102.65, 102.65, 102.65, 102.65, 102.65, 102.65, 100, 0.10, 1, 100, 100.00
709GS2054, GS, 01-Feb-2026, 100.00, 100.00, 100.00, 99.00, 99.77, 99.77, 99.12, 28706, 28.45, 20, 28700, 99.98
709GS2074, GS, 01-Feb-2026, 97.41, 97.00, 97.25, 97.00, 97.00, 97.03, 97.01, 94243, 91.43, 85, 94243, 100.00
710GS2029, GS, 01-Feb-2026, 104.21, 104.21, 105.08, 104.21, 105.08, 104.66, 104.32, 14038, 14.64, 7, 13960, 99.44
716GS2050, GS, 01-Feb-2026, 101.01, 101.01, 101.01, 101.01, 101.01, 101.01, 101.01, 500, 0.51, 1, 500, 100.00
717GS2030, GS, 01-Feb-2026, 104.90, 103.35, 104.75, 103.35, 103.55, 103.55, 103.41, 8639, 8.93, 10, 8637, 99.98
718GS2037, GS, 01-Feb-2026, 101.49, 101.25, 101.90, 101.25, 101.90, 101.90, 101.36, 9413, 9.54, 4, 9413, 100.00
719GS2060, GS, 01-Feb-2026, 100.00, 100.50, 100.50, 99.70, 99.70, 99.70, 100.37, 3000, 3.01, 6, 3000, 100.00
71GS2034, GS, 01-Feb-2026, 103.50, 103.55, 103.55, 103.55, 103.55, 103.55, 103.55, 100, 0.10, 1, 100, 100.00
